"","Animal_ID","year","W","SM","C","PC","PCR","FR","FM"
"1","tn85844",2020,61,115,63,58,116,110,93
"2","tn85844",2021,246,67,NA,NA,NA,NA,NA
"3","tn85845",2020,64,130,49,53,149,118,99
"4","tn85845",2021,228,130,46,45,143,178,100
"5","tn85845",2022,261,180,72,48,153,135,NA
"6","tn85846",2020,58,130,51,46,181,146,110
"7","tn85846",2021,250,151,41,28,134,34,33
"8","tn85846",2022,83,NA,NA,NA,NA,NA,NA
"9","tn85847",2020,64,118,66,62,141,51,NA
"10","tn85848",2020,61,137,55,62,156,113,91
"11","tn85848",2021,188,NA,NA,NA,NA,NA,NA
"12","tn85849",2020,60,121,51,36,106,84,75
"13","tn85849",2021,238,74,52,42,103,96,100
"14","tn85849",2022,135,69,32,32,72,101,NA
"15","tn85850",2020,60,152,66,52,144,111,93
"16","tn85850",2021,179,115,48,68,189,85,94
"17","tn85850",2022,309,67,NA,NA,NA,NA,NA
"18","tn85851",2020,40,149,47,46,156,147,90
"19","tn85851",2021,235,87,51,51,170,81,NA
"20","tn85852",2020,53,108,53,45,152,107,84
"21","tn85852",2021,213,100,33,54,154,121,NA
"22","tn85853",2020,40,55,9,8,5,13,18
"23","tn85853",2021,60,15,1,5,12,14,11
"24","tn85853",2022,NA,26,NA,NA,NA,NA,NA
